text,category
Inga current frequent ah pogudhu romba kashtam,Electricity
Enga area la street light work aagala daily nadakudhu,Electricity
Enga area la power cut daily nadakudhu romba problem iruku,Electricity
Recent ah power cut daily nadakudhu daily nadakudhu,Electricity
Frequent garbage issue in street near my house,Garbage
Severe garbage piled on road near bus stand,Garbage
Complaint regarding sewage overflow in our street,Drainage
Frequent municipal waste problem in this locality,Garbage
Inga sewage problem iruku seekram solve pannunga,Drainage
There is bad smell from drainage near my house,Drainage
Namma street la waste bin overflow aagudhu seekram solve pannunga,Garbage
Issue of drainage water on road in my area,Drainage
Recent ah current frequent ah pogudhu romba problem iruku,Electricity
Frequent street lights not working near bus stand,Electricity
Severe water shortage near bus stand,Water
Enga area la water supply varala many days ah,Water
Enga area la garbage smell romba iruku many days ah,Garbage
Severe potholes on road in my area,Road
Namma street la sewage water road la odudhu romba problem iruku,Drainage
Frequent sewage water leakage in our street,Drainage
Frequent trash problem near my house,Garbage
Severe electricity outage near my house,Electricity
Complaint regarding waste dumped near house near bus stand,Garbage
Frequent tap water not coming for many days,Water
Complaint regarding potholes on road in this locality,Road
Indha area la trash road la iruku daily nadakudhu,Garbage
Issue of cracks on main road near my house,Road
There is electricity problem in my area,Electricity
There is clogged drainage in my area,Drainage
Issue of frequent power issue in our street,Electricity
Severe water leakage from pipe near my house,Water
There is bad smell from drainage in our street,Drainage
Complaint regarding road not motorable near my house,Road
There is waste collection delay in my area,Garbage
Enga area la drainage block aagi iruku daily nadakudhu,Drainage
Recent ah electricity supply illa daily nadakudhu,Electricity
Complaint regarding bad road condition in this locality,Road
Enga area la power cut daily nadakudhu many days ah,Electricity
There is power cut frequently in this locality,Electricity
Frequent municipal waste problem in this locality,Garbage
Facing tap water not coming in my area,Water
There is garbage not collected for many days,Garbage
Namma street la drainage block aagi iruku many days ah,Drainage
Issue of no water supply for many days,Water
Severe municipal waste problem near bus stand,Garbage
Issue of drainage water on road in this locality,Drainage
Inga road full ah holes iruku romba problem iruku,Road
Inga garbage collect panala romba problem iruku,Garbage
Recent ah pipe leak aagudhu romba kashtam,Water
Facing power shutdown for many days,Electricity
Indha area la street road correct illa many days ah,Road
Indha area la power cut daily nadakudhu seekram solve pannunga,Electricity
Facing trash overflow near bus stand,Garbage
Recent ah trash road la iruku romba problem iruku,Garbage
Severe uneven road condition in this locality,Road
Indha area la water shortage romba naal ah daily nadakudhu,Water
Facing drinking water problem near my house,Water
Issue of frequent power issue near bus stand,Electricity
Frequent street lights not working in this locality,Electricity
Recent ah electricity supply illa many days ah,Electricity
Complaint regarding garbage issue in street near bus stand,Garbage
Inga drainage smell romba mosam romba problem iruku,Drainage
Severe frequent power issue in our street,Electricity
Facing drainage pipe broken near my house,Drainage
Recent ah sewage water road la odudhu romba problem iruku,Drainage
Indha area la drainage overflow aagudhu daily nadakudhu,Drainage
Frequent garbage not collected in our street,Garbage
There is broken road surface in our street,Road
Frequent water problem in area for many days,Water
Issue of water leakage from pipe in our street,Water
Inga voltage romba fluctuation many days ah,Electricity
Recent ah drainage block aagi iruku daily nadakudhu,Drainage
Severe garbage issue in street near my house,Garbage
Enga area la water shortage romba naal ah romba kashtam,Water
Facing voltage fluctuation issue in our street,Electricity
Frequent trash overflow in this locality,Garbage
Indha area la garbage smell romba iruku seekram solve pannunga,Garbage
Inga voltage romba fluctuation romba kashtam,Electricity
Frequent waste collection delay near my house,Garbage
Facing voltage fluctuation issue for many days,Electricity
Complaint regarding frequent power issue near bus stand,Electricity
Complaint regarding drainage blocked in our street,Drainage
Frequent drainage blocked in my area,Drainage
There is low water pressure for many days,Water
Indha area la sewage problem iruku seekram solve pannunga,Drainage
Inga drinking water problem iruku daily nadakudhu,Water
Facing clogged drainage in this locality,Drainage
Facing water overflow from pipeline near bus stand,Water
Issue of road causing traffic near my house,Road
Severe water shortage in our street,Water
Issue of uneven road condition near bus stand,Road
Complaint regarding water shortage for many days,Water
Recent ah water supply varala romba problem iruku,Water
Complaint regarding drainage water on road near my house,Drainage
Namma street la pipe leak aagudhu many days ah,Water
Facing garbage not collected in this locality,Garbage
Inga water supply varala romba kashtam,Water
Recent ah drainage smell romba mosam many days ah,Drainage
Recent ah street light work aagala romba problem iruku,Electricity
There is potholes on road for many days,Road
Facing road full of holes near my house,Road
Severe electricity problem for many days,Electricity
Complaint regarding current not available in my area,Electricity
Facing drainage pipe broken near bus stand,Drainage
Indha area la garbage collect panala seekram solve pannunga,Garbage
Severe no electricity supply in our street,Electricity
There is trash problem in this locality,Garbage
Severe road not motorable near bus stand,Road
Complaint regarding waste bin overflowing for many days,Garbage
Complaint regarding trash overflow in our street,Garbage
Recent ah street road correct illa daily nadakudhu,Road
Recent ah power cut daily nadakudhu seekram solve pannunga,Electricity
Frequent uneven road condition in this locality,Road
Complaint regarding electricity outage for many days,Electricity
Inga drainage block aagi iruku seekram solve pannunga,Drainage
There is potholes on road in my area,Road
Frequent no water supply in this locality,Water
Frequent street road damaged near bus stand,Road
Issue of waste collection delay near my house,Garbage
There is drainage water on road in my area,Drainage
Severe pipe burst issue near bus stand,Water
Frequent power failure in this locality,Electricity
Enga area la waste bin overflow aagudhu romba problem iruku,Garbage
Recent ah drainage block aagi iruku romba problem iruku,Drainage
Facing power failure near my house,Electricity
There is garbage issue in street in this locality,Garbage
Recent ah road full ah holes iruku daily nadakudhu,Road
Frequent electricity problem in our street,Electricity
Facing electricity outage near my house,Electricity
Facing drainage blocked in our street,Drainage
Frequent street lights not working near bus stand,Electricity
Frequent drainage issue in street in this locality,Drainage
Severe drainage blocked in my area,Drainage
Complaint regarding drainage overflow in our street,Drainage
Enga area la sewage water road la odudhu daily nadakudhu,Drainage
Issue of power failure near bus stand,Electricity
Namma street la pipe leak aagudhu romba kashtam,Water
Frequent sewage water leakage in our street,Drainage
Issue of garbage smell issue in this locality,Garbage
Inga water supply varala seekram solve pannunga,Water
Recent ah garbage collect panala romba kashtam,Garbage
Issue of trash problem in this locality,Garbage
Complaint regarding drainage water on road in our street,Drainage
Indha area la road damage aagi iruku romba problem iruku,Road
Facing uneven road condition in this locality,Road
There is waste dumped near house near my house,Garbage
Issue of garbage piled on road in my area,Garbage
There is irregular water supply in this locality,Water
Issue of broken road surface in our street,Road
Facing sewage water leakage in our street,Drainage
Severe voltage fluctuation issue in this locality,Electricity
Namma street la voltage romba fluctuation seekram solve pannunga,Electricity
Recent ah street road correct illa seekram solve pannunga,Road
Complaint regarding sewage water leakage in this locality,Drainage
Facing pipe burst issue in my area,Water
Severe garbage smell issue in our street,Garbage
Frequent no water supply for many days,Water
Enga area la street light work aagala many days ah,Electricity
Recent ah road damage aagi iruku seekram solve pannunga,Road
Inga voltage romba fluctuation seekram solve pannunga,Electricity
Severe road causing traffic in our street,Road
Frequent uneven road condition near my house,Road
Frequent no water supply in this locality,Water
Issue of clogged drainage in this locality,Drainage
Indha area la street light work aagala seekram solve pannunga,Electricity
Facing clogged drainage in this locality,Drainage
Recent ah road la romba potholes iruku romba kashtam,Road
Facing current not available in this locality,Electricity
Frequent sewage water leakage in our street,Drainage
Frequent frequent power issue in our street,Electricity
Frequent sewage problem for many days,Drainage
There is irregular water supply for many days,Water
Issue of road not motorable near my house,Road
Namma street la drainage smell romba mosam seekram solve pannunga,Drainage
Recent ah electricity supply illa romba kashtam,Electricity
Frequent current not available near my house,Electricity
Inga pipe leak aagudhu seekram solve pannunga,Water
Recent ah drinking water problem iruku romba problem iruku,Water
Facing garbage not collected in our street,Garbage
Recent ah garbage smell romba iruku romba problem iruku,Garbage
Facing electricity problem in this locality,Electricity
Severe sewage problem in my area,Drainage
Facing trash overflow in this locality,Garbage
Severe pipe burst issue for many days,Water
Issue of clogged drainage in my area,Drainage
Inga drinking water problem iruku romba problem iruku,Water
Frequent bad road condition near my house,Road
Facing drainage issue in street near my house,Drainage
Namma street la sewage problem iruku seekram solve pannunga,Drainage
Severe power shutdown near my house,Electricity
Facing irregular water supply in my area,Water
Frequent road full of holes near bus stand,Road
Inga waste bin overflow aagudhu romba kashtam,Garbage
Recent ah electricity supply illa romba kashtam,Electricity
Frequent no water supply for many days,Water
Indha area la tap la water varala daily nadakudhu,Water
There is irregular water supply in my area,Water
Complaint regarding water overflow from pipeline near my house,Water
There is power failure in my area,Electricity
Severe garbage not collected near bus stand,Garbage
Frequent garbage issue in street for many days,Garbage
Recent ah road full ah holes iruku romba kashtam,Road
Enga area la tap la water varala romba problem iruku,Water
Inga street light work aagala seekram solve pannunga,Electricity
Facing municipal waste problem in this locality,Garbage
Frequent voltage fluctuation issue for many days,Electricity
There is sewage problem near my house,Drainage
Facing road full of holes near bus stand,Road
Complaint regarding municipal waste problem in our street,Garbage
Frequent water shortage near bus stand,Water
There is power shutdown near bus stand,Electricity
Issue of water overflow from pipeline in my area,Water
Issue of irregular water supply near bus stand,Water
There is drinking water problem for many days,Water
Indha area la road full ah holes iruku romba kashtam,Road
Indha area la drinking water problem iruku romba kashtam,Water
Complaint regarding garbage piled on road for many days,Garbage
Complaint regarding potholes on road near my house,Road
Recent ah garbage collect panala daily nadakudhu,Garbage
Facing waste collection delay in my area,Garbage
Facing waste collection delay in my area,Garbage
Complaint regarding municipal waste problem in my area,Garbage
Issue of pipe burst issue in this locality,Water
There is waste bin overflowing near my house,Garbage
Facing current not available near bus stand,Electricity
There is sewage water leakage in our street,Drainage
Enga area la main road romba mosama iruku seekram solve pannunga,Road
Issue of power cut frequently in this locality,Electricity
Enga area la waste bin overflow aagudhu many days ah,Garbage
There is frequent power issue for many days,Electricity
Enga area la power cut daily nadakudhu romba problem iruku,Electricity
Complaint regarding no electricity supply near my house,Electricity
Issue of potholes on road near my house,Road
Issue of waste bin overflowing in my area,Garbage
Enga area la water supply varala daily nadakudhu,Water
Indha area la street light work aagala many days ah,Electricity
Severe frequent power issue near bus stand,Electricity
Recent ah trash road la iruku romba problem iruku,Garbage
Enga area la street light work aagala romba problem iruku,Electricity
Enga area la road full ah holes iruku romba kashtam,Road
Complaint regarding power shutdown near my house,Electricity
Frequent no electricity supply for many days,Electricity
Issue of municipal waste problem in our street,Garbage
Enga area la drainage smell romba mosam seekram solve pannunga,Drainage
Indha area la main road romba mosama iruku seekram solve pannunga,Road
Frequent broken road surface near my house,Road
Complaint regarding bad road condition near bus stand,Road
Recent ah sewage problem iruku many days ah,Drainage
Issue of drainage issue in street near my house,Drainage
Inga waste bin overflow aagudhu romba problem iruku,Garbage
Complaint regarding tap water not coming in our street,Water
Issue of waste collection delay in my area,Garbage
There is no water supply near my house,Water
Facing pipe burst issue in my area,Water
Facing frequent power issue near my house,Electricity
Issue of drainage overflow near bus stand,Drainage
Namma street la water supply varala romba problem iruku,Water
Severe drainage issue in street in my area,Drainage
There is sewage overflow in this locality,Drainage
Severe water leakage from pipe near bus stand,Water
Facing garbage piled on road near my house,Garbage
Issue of frequent power issue in our street,Electricity
Enga area la power cut daily nadakudhu many days ah,Electricity
Enga area la drainage smell romba mosam romba problem iruku,Drainage
There is drainage pipe broken near bus stand,Drainage
There is drainage pipe broken in this locality,Drainage
Enga area la waste bin overflow aagudhu daily nadakudhu,Garbage
Indha area la road full ah holes iruku daily nadakudhu,Road
Inga street road correct illa seekram solve pannunga,Road
Complaint regarding sewage problem in my area,Drainage
Severe garbage smell issue for many days,Garbage
Inga main road romba mosama iruku romba kashtam,Road
Inga garbage issue iruku many days ah,Garbage
Complaint regarding road full of holes near bus stand,Road
Inga water shortage romba naal ah many days ah,Water
Frequent power cut frequently near bus stand,Electricity
Severe broken road surface in my area,Road
There is clogged drainage for many days,Drainage
There is drainage pipe broken near my house,Drainage
Inga garbage smell romba iruku daily nadakudhu,Garbage
Severe pipe burst issue near bus stand,Water
Complaint regarding drainage water on road near my house,Drainage
Severe road not motorable in our street,Road
Facing trash problem in our street,Garbage
Facing garbage issue in street near bus stand,Garbage
Facing drainage water on road in my area,Drainage
Complaint regarding drainage issue in street in my area,Drainage
Enga area la electricity supply illa romba problem iruku,Electricity
Inga road la romba potholes iruku seekram solve pannunga,Road
Facing drainage water on road for many days,Drainage
There is frequent power issue near my house,Electricity
Recent ah water supply varala romba problem iruku,Water
Complaint regarding municipal waste problem in this locality,Garbage
There is drainage pipe broken near my house,Drainage
Issue of no electricity supply in this locality,Electricity
Inga voltage romba fluctuation daily nadakudhu,Electricity
Indha area la trash road la iruku seekram solve pannunga,Garbage
Indha area la voltage romba fluctuation daily nadakudhu,Electricity
Complaint regarding bad road condition near my house,Road
There is electricity problem near my house,Electricity
Severe garbage issue in street in our street,Garbage
Frequent street road damaged in our street,Road
Complaint regarding power cut frequently in this locality,Electricity
Severe trash problem in my area,Garbage
Recent ah tap la water varala romba problem iruku,Water
There is drainage overflow for many days,Drainage
Frequent uneven road condition near bus stand,Road
Complaint regarding irregular water supply near my house,Water
Issue of electricity outage in this locality,Electricity
Severe garbage issue in street in our street,Garbage
Enga area la street road correct illa seekram solve pannunga,Road
Enga area la road la romba potholes iruku romba problem iruku,Road
Indha area la water shortage romba naal ah seekram solve pannunga,Water
Namma street la drainage smell romba mosam seekram solve pannunga,Drainage
Complaint regarding clogged drainage in this locality,Drainage
Issue of current not available in our street,Electricity
Issue of water problem in area near bus stand,Water
Enga area la garbage collect panala daily nadakudhu,Garbage
Inga power cut daily nadakudhu seekram solve pannunga,Electricity
Indha area la pipe leak aagudhu romba kashtam,Water
Issue of drinking water problem for many days,Water
Severe water overflow from pipeline in this locality,Water
Frequent potholes on road in our street,Road
Complaint regarding garbage not collected for many days,Garbage
Namma street la pipe leak aagudhu daily nadakudhu,Water
Indha area la tap la water varala daily nadakudhu,Water
Frequent pipe burst issue in our street,Water
Facing drainage blocked near my house,Drainage
Issue of garbage piled on road for many days,Garbage
Inga drinking water problem iruku seekram solve pannunga,Water
There is water leakage from pipe in my area,Water
Inga drinking water problem iruku many days ah,Water
Namma street la water supply varala many days ah,Water
Frequent water overflow from pipeline for many days,Water
Severe voltage fluctuation issue in my area,Electricity
Complaint regarding tap water not coming in my area,Water
Recent ah drainage smell romba mosam many days ah,Drainage
Indha area la road la romba potholes iruku daily nadakudhu,Road
Complaint regarding water overflow from pipeline for many days,Water
Issue of power failure near my house,Electricity
Enga area la electricity supply illa daily nadakudhu,Electricity
There is water overflow from pipeline near bus stand,Water
Complaint regarding road causing traffic in our street,Road
Inga current frequent ah pogudhu romba problem iruku,Electricity
Complaint regarding pipe burst issue near my house,Water
Inga water shortage romba naal ah seekram solve pannunga,Water
There is broken road surface for many days,Road
Recent ah tap la water varala many days ah,Water
Frequent garbage piled on road in this locality,Garbage
Severe no water supply near bus stand,Water
Enga area la electricity supply illa seekram solve pannunga,Electricity
Indha area la water shortage romba naal ah seekram solve pannunga,Water
There is road damaged after rain near bus stand,Road
Issue of street road damaged near bus stand,Road
Frequent no electricity supply in this locality,Electricity
Indha area la road damage aagi iruku many days ah,Road
There is garbage smell issue near my house,Garbage
Frequent waste dumped near house near my house,Garbage
Recent ah drainage smell romba mosam romba kashtam,Drainage
Recent ah current frequent ah pogudhu romba problem iruku,Electricity
Recent ah drainage overflow aagudhu romba kashtam,Drainage
Inga pipe leak aagudhu romba kashtam,Water
Indha area la drainage block aagi iruku daily nadakudhu,Drainage
Frequent power failure in my area,Electricity
Enga area la garbage issue iruku many days ah,Garbage
Namma street la road full ah holes iruku romba problem iruku,Road
Severe waste collection delay near my house,Garbage
Recent ah drinking water problem iruku many days ah,Water
There is waste collection delay near bus stand,Garbage
Facing road full of holes in my area,Road
Namma street la trash road la iruku romba kashtam,Garbage
Namma street la water shortage romba naal ah romba kashtam,Water
Issue of drainage pipe broken for many days,Drainage
Enga area la water supply varala many days ah,Water
There is frequent power issue near bus stand,Electricity
Severe road causing traffic in my area,Road
Issue of garbage issue in street near bus stand,Garbage
Frequent drainage issue in street for many days,Drainage
Severe frequent power issue near bus stand,Electricity
Namma street la sewage problem iruku daily nadakudhu,Drainage
There is sewage problem for many days,Drainage
Facing irregular water supply for many days,Water
Indha area la road damage aagi iruku daily nadakudhu,Road
Inga trash road la iruku romba kashtam,Garbage
Enga area la waste bin overflow aagudhu daily nadakudhu,Garbage
Issue of road not motorable near bus stand,Road
Indha area la drinking water problem iruku romba problem iruku,Water
Inga road full ah holes iruku romba problem iruku,Road
Enga area la drainage smell romba mosam daily nadakudhu,Drainage
Facing power cut frequently for many days,Electricity
Recent ah road damage aagi iruku daily nadakudhu,Road
Frequent electricity problem near my house,Electricity
Frequent water problem in area for many days,Water
Inga sewage problem iruku romba kashtam,Drainage
Inga current frequent ah pogudhu romba kashtam,Electricity
Enga area la garbage collect panala many days ah,Garbage
Issue of drainage blocked near bus stand,Drainage
Enga area la drainage block aagi iruku romba kashtam,Drainage
Facing low water pressure in our street,Water
